date	precio
20220624	19.0502
20220623	19.0694
20220622	19.076
20220621	19.2087
20220620	19.1685
20220617	19.1442
20220616	19.2271
20220615	19.1833
20220614	19.0661
20220613	18.9804
20220610	19.1753
20220609	19.1011
20220608	19.1924
20220607	19.1487
20220606	19.1645
20220603	19.1383
20220602	19.1222
20220601	19.204
20220531	19.6528
20220530	19.7084
20220527	19.5418
20220526	19.6007
20220525	19.7609
20220524	19.6426
20220523	19.0683
20220520	19.2395
20220519	19.1652
20220518	19.0521
20220517	19.0658
20220516	19.0122
20220513	18.9755
20220512	19.0309
20220511	19.0908
20220510	19.1454
20220509	19.071
20220506	19.1236
20220505	19.1427
20220504	19.1928
20220503	19.1374
20220502	19.2623
20220429	19.0837
20220428	19.0499
20220427	18.9781
20220426	19.0012
20220425	19.1014
20220422	19.0099
20220421	19.012
20220420	18.9414
20220419	19.0942
20220418	19.0046
20220413	18.9578
20220412	18.8359
20220411	18.848
20220408	18.9516
20220407	18.8489
20220406	18.7719
20220405	18.8432
20220404	18.836
20220401	18.9229
20220331	18.9701
20220330	19.0805
20220329	19.1728
20220328	19.1805
20220325	19.2279
20220324	19.2169
20220323	19.3779
20220322	19.3793
20220318	19.3201
20220317	19.0989
20220316	19.0151
20220315	19.1369
20220314	18.8694
20220311	18.9098
20220310	19.0004
20220309	19.2176
20220308	19.3233
20220307	19.332
20220304	19.3049
20220303	19.4243
20220302	19.4902
20220301	19.5225
20220228	19.3708
20220225	19.2597
20220224	19.3039
20220223	19.2978
20220222	19.2607
20220221	19.2201
20220218	19.163
20220217	19.1185
20220216	19.1394
20220215	19.2652
20220214	19.1835
20220211	19.1778
20220210	19.2578
20220209	19.3625
20220208	19.3569
20220204	19.4084
20220203	19.2592
20220202	19.2524
20220201	19.0893
20220131	19.08
20220128	19.1058
20220127	19.0824
20220126	19.1098
20220125	19.0388
20220124	19.1623
20220121	18.9972
20220120	19.0381
20220119	18.928
20220118	18.9859
20220117	19.0771
20220114	19.1297
20220113	19.1902
20220112	19.0844
20220111	19.063
20220110	18.9908
20220107	19.0457
20220106	19.0064
20220105	19.1236
20220104	19.1714
20220103	19.2456
20211231	19.3479
20211230	19.3208
20211229	19.4902
20211228	19.6073
20211227	19.5878
20211224	19.6512
20211223	19.6566
20211222	19.6829
20211221	19.8823
20211220	19.8473
20211217	19.9275
20211216	19.9082
20211215	20.0293
20211214	20.1277
20211213	20.1126
20211210	20.3337
